DATE,PCA1,PCA2
20010709,-3614.4993703017863,8.773214542774017
20010710,-3613.4990905564027,9.337912783324533
20010711,-3612.4988263239356,10.390522752975995
20010712,-3611.498815865203,8.562552352407465
20010713,-3610.498985723565,8.80560797219419
20010714,-3609.499065647049,8.797047617923889
20010715,-3608.4987457343395,9.043593117233659
20010716,-3607.4985310774864,8.199442523175835
20010717,-3606.4990652173474,6.97564617917681
20010718,-3605.499965410183,6.975104488962842
20010719,-3604.4992215674392,6.924134385533604
20010720,-3603.4996076119096,5.75844929030451
20010721,-3602.498418164483,7.849539084723773
20010722,-3601.497914818752,9.677278094117655
20010723,-3600.497888500742,11.881394396227673
20010724,-3599.4980758370893,11.768871920226786
20010725,-3598.497505159232,12.752175816077525
20010726,-3597.49712227117,14.845404154924312
20010727,-3596.497306829895,14.883318363723511
20010728,-3595.497115320086,15.429110307985859
20010729,-3594.4969576125186,14.574723178531421
20010730,-3593.497391975243,14.301300899114146
20010731,-3592.4972522158423,14.846974945027384
20010801,-3591.496820254739,14.44333905736268
20010802,-3590.497373736722,13.70342694635734
20010803,-3589.498057090248,10.846398751846213
20010804,-3588.4982965485488,10.251067125762392
20010805,-3587.4986651528707,9.473781104476513
20010806,-3586.4990926904356,7.9816439409377455
20010807,-3585.4992977000893,9.24243226966443
20010808,-3584.499177066851,9.20695507343788
20010809,-3583.4981662019163,8.983771844838463
20010810,-3582.498569842679,8.099393557588847
20010811,-3581.498683141921,6.149905125907116
20010812,-3580.498006639282,8.51735729309713
20010813,-3579.4977966934985,10.441941533148169
20010814,-3578.4972966102705,14.721490173090741
20010815,-3577.496738807744,15.697449929705972
20010816,-3576.4977027955756,12.628378926610228
20010817,-3575.4975108217386,12.14068036784019
20010818,-3574.4983767070353,11.234460812987214
20010819,-3573.4982170988114,11.76145955691533
20010820,-3572.498418072475,9.066704833228023
20010821,-3571.498090520161,10.225484416789458
20010822,-3570.4976239806783,11.70716000825569
20010823,-3569.497503968554,11.622784459198797
20010824,-3568.4973941831377,13.466554300189593
20010825,-3567.4973743366463,13.97741007043723
20010826,-3566.49739190308,13.369812909896822
20010827,-3565.498738941169,11.227890048196391
20010828,-3564.49814154295,8.899512954904031
20010829,-3563.4985390393704,9.413748764495217
20010830,-3562.499197683317,6.7386467532640015
20010831,-3561.499970535984,4.057119279932728
20010901,-3560.5001326616693,4.296797679460091
